text,label
ürünü satin aldim ve kullanmaya başladim. herhangi̇ bi̇r sorunu yok çok rahatlikla satin alinabi̇li̇r ve kullanilabi̇li̇r. tavsi̇ye ederi̇m.,positive
"evde kıyıda köşede yıllardır bekleyen ağaçla,r yanacak boyda kesildi. köyde de bir dut ağacını tamamen traş etik banamısın demedi.. profesyonel altı çiftlik köy ev ağaç kesim işleri için ideal. kullanım sonrası temizlemek ve yağını boşaltmak gerek.",positive
"yaklaşık altı aydır sürekli kullanıyorum. akşamdan hazırlayıp sabaha sıcak kahve kokusuyla uyanmak için dijital sayaçlı bir makine arıyordum. ancak bu özelliğini hiç kullanmadım, çünkü çok kısa sürede kahveyi hazırlıyor bile. cam demliği çok ince. yıkarken narin olmanız gerek. damlatma neredeyse hiç yok. kendi plastik filtresi var ama bunu kullanmayın, kahveye plastik kokusu veriyor. kağıt filtre alıp onu kullanın.",positive
ben ürünü görmeden almam ama gerçekten marka çantasının tam oturması çok güzel düşünmeden alın satıcının hepsi burada olmasına dikkat edin,positive
diğer pahalı akıllı saatlere göre performansı idare eder herşey mevcut olup fiyatına göre en iyi secenek diğerlerine boşuna para basmayın. ucuz fiyata sağlam mal.,positive
ürün çok güzel.teslimat çok hızlı.çok teşekkürler.,positive
"yeterince iyi bulmadım,beklentimi karşılamadı daha iyi olabilirdi.",negative
keşke içinden çıkan araba sayısı 2'den fazla olsaydı.,positive
"ürüne gelince elektirikli bisiklet gibi ses çıkartıyor. güzel, sessiz ve hızlı. arçelik'te çalışmış bir arkadaşımın tavsiyesi (min 8 kg, 1000 devir) üzerine bu markayı tercih ettim. servisinin önerdiği ve almayı düşündüğü model.",positive
süper kampanya .daha güzel kampanyalar dileğiyle,positive
"sauna eşofmanı alalı yaklaşık 1 ay oldu ama kullanmak pek kısmet olmamıştı.dün iftardan sonra yürüyüşe çıktığımda giydim yarım saat sonra kollarımdan ,bacaklarımdan sular akıyordu.hayatımda hiç bu kadar terlemedim.kullanmaya devam edicem bakalım sonuç ne olcak.",positive
kürk mantolu madonna gençlik yıllarımda okuduğum bir kitapdı kızım için aldım. kızım kitabı bitirdiğinde tekrar okumak istediğini söyleyince şaşırdım ben de tekrar okudum gerçekten harika bir kitap dönem dönem eline al ve oku.....harika,positive
"hızlı ve sorunsuz bir alış veriş oldu, hepsiburada.com sık sık kullandığım bir site olduğu için tereddüt etmemiştim zaten. i̇phone 7 den memnunum hızlı ve fotoğraf kalitesi gayet başarılı i̇phone 4 den sonra ferrari gibi geldi. güzel bir telefon almayı düşünenlere tavsiye ederim.",positive
"ürün çok şık, evinize ayrı bir hava katacağı kesin. herkes gönül rahatlığıyla alabilir.",positive
ürünü sipariş verdiğim ertesi gün elime ulaştı. servis hizmeti yapıldı ve çok memnun kaldık. teşekkürler hepsiburada..,positive
arkadaşlar ürünü zamanından önce ve sorunsuz olarak aldım ki her zamanki gibi aldığım bütün ürünlerde sorun yaşamadım bunu tüm açık yürekliliğimle belirtmek istedim koltuğa gelince çok kaliteli değil ama eşdeğerlerine görede kaliteli olduğunu düşünüyorum evet diğer arkadaşlarada katılıyorum oturma yerindeki sünger biraz daha destekli olsaymış dahada güzel olacakmış kurulum gayet basit bu tür bir ürün alacak arkadaşlara tavsiye ederim sözünün eri olan ve sorun yaşatmayan hepsiburada ailesine teşekkür ediyorum. bu arada bir parantez açmam gerek koltuğun kalitesini ilerki günlerde paylaşıcam arkadaşlar.,positive
sürekli kendini koklamak istiyor insan.kalıcılık konusunda dip noktalar birazdaha az hissediliyor ama edp oluşu hakkını veriyor. armani gerçekten bu işi biliyor.,positive
"ürünü oğlumun oyuncakları için aldım,3 pil kullanan oyuncak anca 5 gün dayanıyor.",negative
çok i̇yi̇ memnun kaldim tavsi̇ye ederi̇m,positive
fiyat / performans oranı mükemmel,positive
arkadaşlar torpidom gerçekten bakımlı ve temiz duruyordu. arabamı yeni aldığım için önlem olsun diye bakım yapmak istedim ama bu ürün malesef torpidomu temizlemeyi bırak soldurdu. hemen sürer sürmez etkisini gösterdi  ve ben de her tarafa sürmedim. tavsiye etmiyorum,negative
"gayet güzel bir yatak, rahat. fakat kokusu uzun süre çıkmıyor.",positive
urunden test icin 1 adet almisdim. birde ne goreyim bir tane tek basina cok guclu bi aydinlatmaya sahip agzimi acikda birakdi ve simdi 10 adet daha verdim butun odalarimda kullanicam. hepsiburada urunu bulundurdugu ve hizli kargo ile en onemliside mutlu alisveris yarattigi icin cok tesekkur ederim.,positive
almış olduğum ürünü 1 gün gibi kısa sürede özellikle kadınlar günün de eşim ulaştırdığınız için teşekkür ederim. hizmet  deki dürüstlük kalite  hızlı ulaşımdan memnun kaldığımı iletmek isterim. başarılarınızın devamını dilerim.,positive
urun cok hizli bir sekilde sorunsuz elime gecti. fiyat olarak ta cok iyi. aradigim hemen herseyi hemen hemen en uygun fiyatlarda hepsiburada dan bulabiliyorum. esime yardimci olmak adina urunu ben de kullaniyorum cok memnunum. tavsiye ederim.,positive
"bu ürün çok güzel ben babamdan istemiştim o kadar zorladımki en sonunda aldırdım monopoly türkiye diyince aklınıza emlak ticareti oyunu gelsin aynısı, sadece şehirler türkiye illlerinden. emlak ticaretinde de kartlarda yazan şeyler türkçe .",positive
beyler bende zenfone 2 deluxe 128 gb var onda 4 gb var.2.33 ghz octa core islemci var. bu telefonun tek artısi kamera metal kasa ve parmak izi okuyucu benim zenfone 2 bunu atar fırlatır.ama gene iyi tel,positive
parfümün kalıcılığı ve kokusu mükemmel.kullandığınızda parfümünün markası ne sorusunu çok duyacaksınız,positive
"orijinal şarj adaptörü ile çok iyi verim alıyorsunuz, 2m olması ayrı bişey. bozulursa gene aynısından alırım bakalım ne kadar gidecek.",positive
ben ürünü yaklaşık 6 ay önce almıştım . benim araçta iki ayda bir üzerine yarım litre su ekliyodum. bu ürünü kullandığımdan beri su eksiltmiyor. herkese tavsiye ederim teşekkürler hb...,positive
"fiyatı iyi, kalitesi fiyatına göre daha iyi. koku kesinlikle yok. çok memnunum",positive
faber castellin en iyi kalemlerinden biri tk fine serisi genel olarak iyi pentele göre fiyatıda ekonomik iyi bir kalem herkese öneririm,positive
alırken düşünmeme rağmen aldıktan sonra iyi ki almışım dediğim bir ürün. kalın olması ise daha güzel olmuş. artık yer kaplama sorunu olmadan her şeyi rahatlıkla hurca koyup vakumlayarak yer kaplama derdine düşmüyorum. alacak arkadaşlara hem fiyat yönünden hem de kalitesi bakımından tavsiye edeceğim bir ürün,positive
tebrikler si̇nbo uygun fiyat ve kaliteli ürünü bir araya getirmek ancak bu kadar başarılı olur tüm ürünlerini gönül rahatlığı ile kullanıyoruz zaten arıza olsa bile kapıdan kapıya servis hizmeti var daha ne olsun iyi ki varsın si̇nbo,positive
ürün hızlı kargolandı. tel. şarj etmedim ancak aydınlatma olarak yeterli. kamp veya balık meraklıları için uygun.  tavsiye ederim.,positive
8aylık kızım bayılarak biniyor kendi kendine üzerine binerek sürmeyi öğrendi.şimdi yürüteç kısmına geçmeyi bekliyoruz ama çoçuklar bayılıyor 10 tane oyuncak yerıne gecicek bir oyuncak,positive
"normal tel uzunluk: 4-14 mm, genişlik: 12 mm",positive
kitap hemen elime ulaştı kusursuz hepsiburada.com teşekkürler :) i̇smine aldanıp almamazlık yapmayın çok güzel bir kitap tavsiye ederim. okurken kendinizi kaptırıyorsunuz.,positive
ürün 3 gün önce elime ulaştı. bence verilen parayı hakediyor. saçları gerçekten kuaförden çıkmış gibi yapıyor. benim saçlarım çok gür. eski düzleştiricim baya vaktimi alıyodu. ama şimdi 10-15 dakikada saçlarım dümdüz oluyor. üstelik saçlarım daha parlak görünüyor. düzleştirirken biraz yanık kokusu geliyor ama o kadar da kusuru olsun :) herkese tavsiye ederim. bence mutlaka alın...,positive
fiyatı uygun ve memnun kalacağınız bir ürün. paketleme çok başarılı. ürün zarar görmeden elinize ulaşıyor.,positive
yumuşak malzeme. sert rüzgar kapıyı çarptığında parçalanıyor.,negative
süpürgeyi temizlemekte çok  kolay torba derdi yok. bu da ayrıca õnemli bir ayrıntı;),positive
"daha iyisi belki vardir ama bu kadar kullanislisi zor gercekten. ben cok memnun kaldim. arkadasimda annemede hediye olarak aldi. onlarda cok memnun. hic dusunmeden alinabilir, tavsiye edilir",positive
ürünü bu gün teslim aldım fiyat ve kalite olarak gerçekten çok iyi. teşekkürler hepsiburada,positive
swatch için çok söze gerek yok normalden daha hafif ve spor gündelik kullanmak için harika bir saat kordon plastiği çok esnek ve yumuşak kolumda saat yok gibi bir his veriyor.,positive
harika ele tam oturuor mütüş hassasiyeti var cok memnun kaldım kargo da 1 gunde geliverdi,positive
"ürünü sipariş ederken tereddütlerim var i̇di, özellikle emiş gücü hakkında detaylı bilgi verilmemesi düşündürücüydü. fakat ürün hem görüntü hem kalite hemde emiş gücüyle beklentilerimin üzerinde çıktı. ayrıca aşırı ses yapıyor diye yorumlar vardı lakin bana gelen ürünün ses düzeyi kabul edilebilir düzeyde. tavsiye ederim.",positive
"hepsiburada bizde öyle bağımlılık yaptı ki, şu küçücük band dahil en ufak şeyleri hepsiburadadan alıyorum. oturduğum yerden toplu sipariş veriyorum. ayağıma kadar geliyor. bence mükemmel",positive
tavsiye ederim şahane bi ürün koblosu kısa geri kalan herşeyi iyi çekiş,positive
duracell denildiği zaman gerçektende bir kalite anlaşılıyor ve diğer pillere nazaran daha uzun süre kullanım ömrünün olduğunu görmek memnun ediyor müşteriyi.güzel bir ürün,positive
"ürün çok güzel, az bir miktar kullanarak işinizi halledebiliyorsunuz. güzel köpürüyor ve köpüğü hemen bitmiyor. soğuk suda bile işe yarıyor. şiddetle tavsiye ederim",positive
ürünü alırken içimde biraz şüphe vardı ancak,positive
kisa bi̇r süre önce bu kokuyu buradan aldim.. tahmi̇ni̇mden çok çok öte hari̇ka bi̇r koku... sürekli̇ kullanip birakamadiğim kokulara meydan okuyor...,positive
i̇şimi gördü. hafifçe bastırarak lekeleri sildim. i̇sterseniz sert basın hiç problemi yok.  hemen bitmiyorda.. azı dişlerinize mudahale etmek cok zor yalnız.,positive
ürün paketlemesi ve teslimatı çok güzeldi. sorunsuz elime ulaştı. teşekkür ederim.,positive
eğer jantlarınızın ilk günkü gibi kalmasını istiyorsanız bu ürünü mutlaka kullanın derim. araç siyahsa jantlar temiz olduğu sürece araç da temiz görünüyor. bütün sonax ürünlerini kullanmış biri olarak en iyi sonuç aldığım iki sonax ürününden biri olduğunu düşünüyorum..,positive
ürün çok yeterli tavsiye ederim,positive
alman kalitesi ürünü elinize aldığınız anda hissettiriyor kendini. ayrıca farklı şehirlerde oluşmasına karşın siparişim çok hızlı bir şekilde elime ulaştı bunun için de son derece memnun kaldık. fiyat olarak da almanya fiyatından dahi daha ucuza geldi ürün. henüz deneme şansımız olmadı fakat düdüklü tencere mucidi olan wmf nin adı bile yeter zaten.,positive
1. %1 bile yakıt tasarrufu sağlamadı.,negative
"roman kurgusal olarak çok iyi dizayn edilmiş, sayfalar ilerledikçe meraklandırıyor ve bitirmek için sabırsızlanıyorsunuz. sonunda müthiş bir finalle kurgu tamamlanıyor. okunduktan sonra tekrar okumak isteyeceğiniz etkileyici bir roman şiddetle tavsiye ederim.",positive
ürün gerçekten kendini kanıtlamış aracımın motorunun  hem sesi azaldı hemde yakıtta hissedilir seviyede tasarruf sağladı ve ilk çalıştırması rahatladı kesinlikle etkili bir ürün tavsiye ediyorum.,positive
"ürünün malzeme kalitesi gayet iyi, 3in1 başlık işlevsel fakat çok ses yapıyor. çekiş gücü orta seviyede, daha yüksek çekiş gücü olan makineler kullandım, fakat ses seviyesi ciddi anlamda az. en çok sesi emiş ağzı yapıyor, gece apartmanda kullanılabilir. kablosu tüm evi süpürmeme yetiyor (2+1 orta boyutlu bir ev). sessiz olması birinci önceliğiniz ise alın, emiş gücü önceliğiniz ise daha yüksek emiş güclü benzer fiyatlarda makineler mevcut.",positive
i̇lk çıktığında aldım.  herşeyi ile süper bir telefon. bilgisayarı açmanıza gerek yok her işi rahatlıkla görüyor. dizayn olarak ta 10 numara.,positive
kredi kartımızın limiti yeterli ise nasıl olsa ne görsek almakta ve karta borcumuzu ödemekteyiz. buradan aldığım altınlar ile alışveriş yapma zevkimi giderirken aldığım altınlar kar kalmış ve çocuğumun düğünü için birikim yapmıştım. hiç zorluk çekmedim. teşekkürler hepsiburada,positive
güzel ürün hesaplı,positive
"tablet tarzı telefonlardan hoşlananlar için kaçırılmaması gereken bir telefon. özellikleri, ekranın kalitesi, kalemi ve hepsiburada.com un yaptığı indirim ile birlikte bence kaçırılmaması gereken bir telefon. samsung türkiye garantisiyle kampanyayı kaçırmamanızı dilerim.",positive
ürüne parasina göre güzel kaldiki̇ kötüde olsa bu si̇te bu kadar hizli tesli̇mat yapiyorsa ayakta alkişlanasi bi̇ durum çok teşekkür ederi̇m,positive
ürün muhteşem yalnız telefonun şarjı çabuk bitiyor ne yaparsanız yapın 3-4 defa şarj ediliyor. ve telefonu ne kadar muhteşem olsada kullanamıyorsunuz.,negative
burdan alınca 50 adet bez bedavaya gelmiş oluyor,positive
i̇şe yarayan emici kanallar. sabaha kadar bebeğimin altı kuru kalıyor.,positive
ürün dün elime geçti ilk deneme gayet başarılı. ses gayet az mekanik bir klavye için. tuşları büyük güzel kullanışlı olmuş hızlı yazan biriyseniz ve parmaklarda biraz geniiş ise yanlış tuşa basma  ihtimaliniz düşürülnüş . arka aydınlatması tek renk yanlız ayarlama olanığı güzel olmuş.  iki tane sıkıntısı var biri tabiki parası ucuz diyemem ama bu seviyede sağlam ve kullanışı rahat bir klavye arıyorsanız bu seviyede fiyatları . bir diğer sorun kablo su power kablosu gibi ( abartı değil ),positive
guzel bir urun bekledigim gibi ....,positive
tek eksiği kablosu cok kısa geldi hem de cok kısa adaptör yanında gelmiyor fişi yani ama ewinizde zaten var iphone 6s için aldım 4 kez tam şarj etti! helal olsun diyorum çok şık görüntü tasarım mükemmel fiyatına göre iyi performans??,positive
ürünü hediye olarak aldığım için ozelligini bilmiyorum okudugum yorumlarin dogruluna inanarak tercih ettim. elime çok çabuk ulaştı,positive
i̇lk bebeğimde de kullanmış ve çok memnun kalmıştım. şimdi ikinci bebeğim doğduktan sonrada kullanmaya başladım. bence çok başarılı bir ürün.,positive
"bugün aldım ve hemen lastikcide taktırdım. gümüşhane kelkit arasındaki 2020 rakımlı pekün dağına yoğun kar yağışı varken çıktım ve herhangibir sorun olmadan indim. lastik gerçekten kaliteli. arabaya biinince bunu anlıyorsunuz. yol tutuş, fren ve ses yalıtımı çok güzel. alacak arkadaşlara tavsiye ederim. çok tutulan bi marka değil bilen kişilerin aldığıbi marka. teşekkürler hepsiburada",positive
kullanıldığı zaman kullanılan bölgede terleme yapıyor.fakat 2 haftadır düzenli kullanıyorum henüz herhangi bir fark göremedim.ayrıca çok çabuk yıpranıyor.sökülmeler ve delinmeler başladı bile.çok tavsiye edeceğim bir ürün değil.....,negative
kullanışlı bir ürün . kutulu fotoğrafındaki gibi yeşil kabı ile geldi . kalibrasyon özelliği var .  üstüne tabağı koyarak sıfırlayıp üstüne yiyecekleri ekleyincede gayet güzel hassas tartıyor . tavsiye ederim .,positive
ürün harika  bütün saçları 10  dakikada düzleştiriyor.,positive
sony kalitesi bu üründe var.,positive
"öncelikle 2 günde elime gecti ve kulanıma hazır olması cok yiy.gayet güzel yıkıyor ve temizliyor yalnız borularının plastik olması her an kırılıp elimde kalacakmış hissi veriyor ama bende biraz fazla bastırıyor olabilirim daha kuru olsun diye:)  metal olabilirdi,birde küçük yımama ucu fala sıcratıyor bunların dışında çok iyi bir makina,cekim gücü gayet iyi ve temizliği kolay.",positive
"hassasiyeti yeterli derecede.düz ve sert zeminde daha doğru ölçüm yapıyor.beğendim, tavsiye ederim.",positive
hepsi̇burada.com a çok teşekkürler gerçekten kali̇teli̇ ve bu fi̇yata bu ürün i̇nanilmaz bence hi̇ç düşünmeden alin başka ürünlere çok para vermeye gerek yok:),positive
çok hoş bir kokusu var mutlaka tavsiye ediyorum kalicilikda olarak dunyada ilk 10 arasinda ;kibris gibi yazlari 60 derece olan bir yerde cok işe yariyor ....suana kadar bir cok parfum kullandim ama vakko cidden cok farkli özellikle kalicilik konusunda ustune tanimiyorum camasirlar yikandikdan sonra bile kokmaya devam ediyor ...,positive
oldukça iyi bir ürün iyi kapatıyor doğal görünümlü beğenerek kullanıyorum. 41 numara ve 13 numara uygun tonlar bence.fiyatı da piyasaya göre oldukça iyi,positive
"süper bi ürün. keşke en başından beri bunu kullansaydım. temizlemesi aşırı kolay ve pratik. taneleri ince ve küreğin aralarından küreği hiç sallamasanız bile dökülüp gidiyor. kokuyu hapsediyor, pis koku yok. temizlerken topaklaşmalar dağılmıyor",positive
insanın olaylara bakış acısını değiştiren bir kitap. yazarın kullandırdık dil gayet acık. sürükleyici bir kitap elinize aldıktan sonra kolay kolay bırakamayacaksınız .herkese tavsiye ediyorum .,positive
kesinlikle tavsiye ederim arkadaşlar,positive
kimsenin fiyati ucuz diye akli karismasin arkadas 20 cm kar ustunde normal yolda gider gibi gittim karli rampalarda da sikinti olmadi milletin kaldigi yerlerde bir iki patinajdan sonra yoluma devam ettim tek olumsuz nokta biraz sert olusu ama yaz lastiklerim continantal onlarda nerdeyse bu kadar sert her turlu tavsiye ederim dusunecek fazla bi sey yok...,positive
kali̇teli̇ bi̇r ürün,positive
ürün gerçekten süper. tabi uzun süre kullanım ve deneyim sonrası bu fikrim değişir mi bilemiyorum. fiyat performans liginin açık ara şampiyonu denebilir. servis işi şüpheli sadece...,positive
öncelikle ürünün paketi özenli ve sağlam bir şekilde bana ulaştı kulaklığa gelince gayet yeterli ve güzel kullanımı çok kolay kaliteli malzeme ve çok şık kulağınıza varmı yokmu belli değil beğendim çekim mesafesi 10 metre rahat var ses de güzel teşekkürler hepsi burada ve çalışanları,positive
ürün matematik ağırlıklı derslerde işinizi çok kolaylaştırır. basit ve kullanışlıdır.,positive
yorumlara bakarak aldım ve iyi ki de almışım elime ulaşali bir gün oldu denedim muhteşem bir ürün hiç düşünmeden alın rahat rahat kullanın,positive
- prestijli mi? hayır.,negative
parasına göre çok iyi kulanışlı,positive
fiyata bakıldığında oldukça performanslı,positive
"urunu i̇lk kez kullandim kurulumu gayet kolay zaten ilk akvaryumumu bu urunle kurdum. ilk gun su sirilti sesi yapiyor icindeki havanin tamamen atilmasi bir gun suruyor. sonra gercekten cok sessiz. yanindaki hediyeleri ise cok faydali oluyor. 99,5cm e 39,5 cm akvaryumumda guvenle kullaniyorum. herkese tavsiye ederim ozellikle yeni baslayanlar kacirmasin hava motoru ve isitici bedava . kargo uc gun suruyor sabretmek gerekir. hepsi̇ buradan ai̇lesi̇ne teşekkurler.",positive
çok pratik bir ürün. temizlemesi çok kolay. tefal kalitesinden yine memnun kaldım. koyduğum bitki çayı su ile temas etmeden buhar ile demleniyor bu sayede hiç acıma tadı olmuyor.,positive
i̇lk burbeery london parfümümü de burdan almıştım. o bitince o kadar üzüldüm ki.. :) tekrar indirimde olduğunu görünce hemen siparişi verdim. sadece ben değil parfümü kullanıp girdiğim ortamdaki arkadaşlarım da bayılıyorlar buna.kesinlikle kaçırmayın derim.,positive
ürünü geçen hafta aldık;hepsiburada her zamanki gibi ürünü zamanında ve eksiksiz bir şekilde gönderdi.telefonla ilgili tek eksiklik içeriğindeki resimlerin pek çeşitli olmaması;ama onu da bilgisayrınızdan resim yükleyerek halledebilirsiniz.,positive
suyu bulaniklaştiriyor.bence normal yem kullanin.,negative
ürün gerçekten güzel. ses kalitesi çok güzel. titrşim özelliğide çok iyi.şarjı uzun süre dayanıyor. ama keşke müzikte dinleyebileceğim bir ürün alsaymışım diyorum.,positive
ilk alırken çok düşünüp kararsız kaldığım lastik arabaya takınca gerçekten sessizliği ile memnun etti yani kışın yağmur ve karda nasıl olduğunu bende merak ediyorum saygilar,positive
tek geçerim hepsiburada yı,positive
"fırça ile çıkmayan kahve lekesini 5-10 dakikada temizledi. sadece dişlerin aralarına tam giremiyor, o da diş yapısıyla da alakalı tabi. ön dişlerimin arka kısımlarına ulaşması zor oluyor, birinden yardım istenebilir. ürünü beğendim.",positive
dişinizi fırçalarken ekstra bir baskı uygulamamaya dikkat edin yoksa diş etlerinde kanamaya sebebiyet verebiliyor.,positive
ürün kendi̇ kutusu i̇çeri̇si̇nde yedek tellerle geli̇yor.ürünün ağirliği kali̇tesi̇ni̇n de göstergesi̇....,positive
ürünün kurulum klavuzu yetersiz. 3 saatimi aldı. birkaç eksik vida çıktı. kapaklar ve çekmeceler çok nizami durmadı. fiyatına göre idare eder bir ürün.,negative
üründen 4 adet sipariş verdim şimdilik bir sorun gözükmüyo ama ayaktaki teri tamamen almıyor ama sıcak tutuyor güzel ürün beğendim,positive
"klasörler sağlam ve dayanıklı, ücretne göre iyi. ben daha zayıf bekliyordum ancak bürodaki evraklarımın hepsini içine attım.",positive
her yerde araştırdım en uygun fiyat burada buldum.,positive
"arkadaşlar ürün 3 günde elime geçti,mükemmel bi ürün kesinlikle almanızı öneriyorum",positive
ürün kokusuz ve sağlam duruyor kötü yanı ise boyutları çok buyuk olmus.ancak bu fiyata çok iyi bir dambıl aldığımı dusunuyorum.,positive
"1 gunde geldi o kadar hizli geldi ki sistemde hazirlaniyor yaziyor , kokusu guzel",positive
yorumlara bakarak aldığım bu parfümden çok memnun kaldım herşey için çok teşekkürler hepsi burada,positive
tek eksiği tanıtım resimlerinde ekran kenarındaki siyah çerçevenin varlığının anlaşılmaması...yanıltıcı...şarjı kötü değil çok aktif kullanmaz iseniz...hızlı şarj oluyor...babam memnun kaldı...kamera iyi...ekran çözünürlüğü iyi..fiyata göre estetiği performansı ve hafifliği çok üstün...tavsiye ederim...,positive
diğer markalara aldırış etmeyin asus piyasada kendini kanıtlamış bir marka malzeme ve ürün kalitesi oldukça tatmin edici çok memnun kaldım.,positive
ürünü ilk takarken elimden düşürdüm kırılacak veya çalışmaz artık dedim. ama baktım ki gayet güzel çalışıyor. plastik ve dayanıklı. çok beğendim çok orjinal bir ürün.,positive
yavru köpeğim için aldım yüzüne bile bakmadı,negative
erkekler için en değerli ve en önemli bakım traştır.,positive
kireç konusunda memnun kalmadım. çok kireç topluyor.,negative
buzluğun altta ve derin dondurucu tarzında olması ve enerji tasarrufu olması en büyük artısı..  7 aydır kullanıyorum çok memnunum..   sessizlik ve geniş hacim....  say say bitmez...,positive
